recipe_id,phase,name,description,ingredients
1,1,Toxin Cleansing Blast,"Flush toxins from your body with this delicious, fruity concoction.",
2,1,Vita-Berry Blast,"Ward off cancer, heart disease, and viruses with this sweet and tasty blast of flavonoids!",
3,1,The Immune Booster,Keep healthy even during flu season with this delicious elixir packed with antioxidant goodness.,
4,1,Morning Glory,Start your day with boundless energy with this flavorful blend.,
5,1,Nutty Nectar,Go nuts with this vitamin rich blast of flavor.,
6,1,Tropical Tonic,Boost your immune system with this vitamin C rich drink.,
7,1,Protein Powerhouse,"Packed full of protein, this super satisfying blend keeps you energized for hours.",
8,1,Peachy Pick-me-up,Healthy fats and flavor abound in this tasty treat.,
9,2,Energy Elixir,"Add some serious pep to your step with this delicious, energizing elixir. A perfect afternoon pick me up.",
10,2,Fountain of Youth,Look and feel years younger by enjoying this age-reversing blend.,
11,2,Longevity Elixir,Feel the years disappear with this light and snappy blend.,
12,2,Get Up and Goji,Power up with this antioxidant-rich flavor extravaganza.,
13,2,Nature’s Candy,Balance hormones by way of this fantastic tasting treat.,
14,2,Antioxidant Fusion,Fight off free radicals and add years with this tasty blast.,
15,3,Life Boost Blast,Start your day with a blast of calcium and magnesium. No supplement ever tasted this good.,
16,3,Digestive Health Elixir,"Rich with enzymes, this pineapple blend helps to get your digestive system running smoothly.",
17,3,Liver and Colon Tonic,Detox away with this tasty treat.,
18,3,Banana Berry Vitality Blend,Grab a quick energy boost with our Banana Berry Blend!,
19,3,Kaleacado Blast,Unleash your libido with a luscious Kaleacado Blast!,
20,3,Melon Blast,Maximize your fiber and melt away pounds with a mouthwatering Melon Blast!,
21,3,Power Booster,"Pick up your pace with a delicious, nutritious Power Booster.",
22,3,Swiss Mix,"Mix it up with this flavor-packed, nutrient-rich blend.",
23,3,Free Radical Fighter,Give free radicals a knock-out punch with a tasty Free Radical Fighter!,
